arquivo,veredito,motivos,nitidez,brilho,contraste,largura,altura,duplicata_de,caminho
CAM2_RGB_2024-08-16_14-26-00_jpg.rf.f52e7c34ac3a523b0c70f077fb37357e.jpg,aproveitavel,-,910.09,97.32,64.11,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-16_14-26-00_jpg.rf.f52e7c34ac3a523b0c70f077fb37357e.jpg
CAM2_RGB_2024-08-16_15-55-00_jpg.rf.3f6537511235feced18428bab2b4fa32.jpg,aproveitavel,-,969.54,110.51,51.04,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-16_15-55-00_jpg.rf.3f6537511235feced18428bab2b4fa32.jpg
CAM2_RGB_2024-08-16_17-55-00_jpg.rf.e03a7a028149d3297ba901b50e5923ea.jpg,aproveitavel,-,775.31,107.76,45.5,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-16_17-55-00_jpg.rf.e03a7a028149d3297ba901b50e5923ea.jpg
CAM2_RGB_2024-08-16_20-25-00_jpg.rf.9998b5de050e6aad60cccb5af30beaf2.jpg,aproveitavel,-,717.31,91.76,62.49,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-16_20-25-00_jpg.rf.9998b5de050e6aad60cccb5af30beaf2.jpg
CAM2_RGB_2024-08-16_23-13-00_jpg.rf.84d1b0cf422bcae5d8d9041a1cd35056.jpg,aproveitavel,-,950.34,79.7,62.51,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-16_23-13-00_jpg.rf.84d1b0cf422bcae5d8d9041a1cd35056.jpg
CAM2_RGB_2024-08-17_00-55-00_jpg.rf.e1a16af866f3a5b3f4a1d2c14a350f55.jpg,aproveitavel,-,911.37,77.73,70.75,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-17_00-55-00_jpg.rf.e1a16af866f3a5b3f4a1d2c14a350f55.jpg
CAM2_RGB_2024-08-17_12-55-00_jpg.rf.674c3bd790e75441cbefbb3e1f7aef08.jpg,aproveitavel,-,725.77,103.85,56.53,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-17_12-55-00_jpg.rf.674c3bd790e75441cbefbb3e1f7aef08.jpg
CAM2_RGB_2024-08-17_15-12-59_jpg.rf.2fe7a7115e294dd000237d8c738bf4bf.jpg,aproveitavel,-,600.05,101.06,59.67,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-17_15-12-59_jpg.rf.2fe7a7115e294dd000237d8c738bf4bf.jpg
CAM2_RGB_2024-08-17_23-02-00_jpg.rf.dc625f46a5f964a85a4de37242d92e06.jpg,aproveitavel,-,777.81,67.64,52.23,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-17_23-02-00_jpg.rf.dc625f46a5f964a85a4de37242d92e06.jpg
CAM2_RGB_2024-08-18_04-25-00_jpg.rf.d37e713a6f9b0421e5ee0537fe2f57ca.jpg,aproveitavel,-,642.87,70.53,56.1,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-18_04-25-00_jpg.rf.d37e713a6f9b0421e5ee0537fe2f57ca.jpg
CAM2_RGB_2024-08-18_10-55-00_jpg.rf.7f913ad78032b29143d8a949e42c9ba1.jpg,aproveitavel,-,763.16,111.93,52.77,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-18_10-55-00_jpg.rf.7f913ad78032b29143d8a949e42c9ba1.jpg
CAM2_RGB_2024-08-18_16-14-00_jpg.rf.8c5352b1129ca935ddd4ba173a6daa7b.jpg,aproveitavel,-,802.85,101.59,62.65,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-18_16-14-00_jpg.rf.8c5352b1129ca935ddd4ba173a6daa7b.jpg
CAM2_RGB_2024-08-19_01-55-00_jpg.rf.c664aff4774212ff4d6c092de63f6fc2.jpg,aproveitavel,-,977.24,74.42,72.01,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-19_01-55-00_jpg.rf.c664aff4774212ff4d6c092de63f6fc2.jpg
CAM2_RGB_2024-08-19_04-25-00_jpg.rf.b4a88cf88be8dd7eb7ea530aba67243e.jpg,aproveitavel,-,819.14,73.85,75.47,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-19_04-25-00_jpg.rf.b4a88cf88be8dd7eb7ea530aba67243e.jpg
CAM2_RGB_2024-08-19_05-55-00_jpg.rf.23f4fc6ef63fbaf17ab0d3c37ea89d17.jpg,aproveitavel,-,851.71,93.1,58.57,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-19_05-55-00_jpg.rf.23f4fc6ef63fbaf17ab0d3c37ea89d17.jpg
CAM2_RGB_2024-08-19_14-37-00_jpg.rf.1a0e874f5733299892e5728ad6393392.jpg,aproveitavel,-,754.88,102.2,64.95,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-19_14-37-00_jpg.rf.1a0e874f5733299892e5728ad6393392.jpg
CAM2_RGB_2024-08-19_19-07-00_jpg.rf.328d6bd141b7a8970480c235d2531675.jpg,aproveitavel,-,671.61,65.74,61.92,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-19_19-07-00_jpg.rf.328d6bd141b7a8970480c235d2531675.jpg
CAM2_RGB_2024-08-19_20-37-00_jpg.rf.791d2716c73b31480f035cf3b99096fc.jpg,aproveitavel,-,843.36,79.54,66.35,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-19_20-37-00_jpg.rf.791d2716c73b31480f035cf3b99096fc.jpg
CAM2_RGB_2024-08-19_22-07-00_jpg.rf.0d4ab7f066ee1d5eb559901f1ebead5d.jpg,aproveitavel,-,827.28,81.49,69.57,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-19_22-07-00_jpg.rf.0d4ab7f066ee1d5eb559901f1ebead5d.jpg
CAM2_RGB_2024-08-20_00-07-00_jpg.rf.a9937ba974f86ce4be22b9f0280375b6.jpg,aproveitavel,-,755.87,69.27,62.26,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-20_00-07-00_jpg.rf.a9937ba974f86ce4be22b9f0280375b6.jpg
CAM2_RGB_2024-08-20_04-07-00_jpg.rf.b26ac9d680bd2ef179996f305c05f7d5.jpg,aproveitavel,-,840.66,79.61,68.39,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-20_04-07-00_jpg.rf.b26ac9d680bd2ef179996f305c05f7d5.jpg
CAM2_RGB_2024-08-20_07-01-00_jpg.rf.ff8f963ba3be216a595d7a1f75e85809.jpg,aproveitavel,-,756.1,96.51,56.52,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-20_07-01-00_jpg.rf.ff8f963ba3be216a595d7a1f75e85809.jpg
CAM2_RGB_2024-08-20_13-07-59_jpg.rf.b30713bc2597c0fedf2994595beefa13.jpg,aproveitavel,-,756.69,107.26,60.14,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-20_13-07-59_jpg.rf.b30713bc2597c0fedf2994595beefa13.jpg
CAM2_RGB_2024-08-21_02-08-00_jpg.rf.ee8224f344c9b0e249e6d19d4e33df50.jpg,aproveitavel,-,235.54,46.42,33.37,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-21_02-08-00_jpg.rf.ee8224f344c9b0e249e6d19d4e33df50.jpg
CAM2_RGB_2024-08-21_03-38-00_jpg.rf.14233c71e3bf66e31ca8c4cda5d38e52.jpg,aproveitavel,-,223.48,46.3,33.54,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-21_03-38-00_jpg.rf.14233c71e3bf66e31ca8c4cda5d38e52.jpg
CAM2_RGB_2024-08-21_05-49-00_jpg.rf.7913c48541509362d0fc7abff1c6d666.jpg,aproveitavel,-,427.12,91.7,62.87,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-21_05-49-00_jpg.rf.7913c48541509362d0fc7abff1c6d666.jpg
CAM2_RGB_2024-08-21_06-44-00_jpg.rf.e14005d0215f59f459e8bfbf65b47218.jpg,aproveitavel,-,481.34,95.11,55.27,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-21_06-44-00_jpg.rf.e14005d0215f59f459e8bfbf65b47218.jpg
CAM2_RGB_2024-08-21_09-38-00_jpg.rf.65d029a1e10793d414cca893afe99ff4.jpg,aproveitavel,-,705.16,104.33,59.72,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-21_09-38-00_jpg.rf.65d029a1e10793d414cca893afe99ff4.jpg
CAM2_RGB_2024-08-21_16-08-00_jpg.rf.a9c192e03c4f2831de3b139a0292239a.jpg,aproveitavel,-,750.64,103.31,57.28,640,360,,C:\projetopig\dataset\sows_farm\sows_farm_02.v2i.yolo26\test\images\CAM2_RGB_2024-08-21_16-08-00_jpg.rf.a9c192e03c4f2831de3b139a0292239a.jpg
